BLOQUE,ID_EL1,EL1,ID_EL2,EL2,REL
09_MC,MC108,COHESIÓN SOCIAL,DES039,CONCIENCIA SOCIAL,1
09_MC,MC108,COHESIÓN SOCIAL,DES044,RACISMO Y XENOFOBIA,-1
01_AG,AG026,RIEGO DE ZONAS VERDES,AG004,CONSUMO DE AGUA DOMÉSTICO,1
01_AG,POB001,TAMAÑO DE LA POBLACIÓN,AG004,CONSUMO DE AGUA DOMÉSTICO,1
01_AG,AG007,CANTIDAD TOTAL DE AGUA,CC014,VULNERABILIDAD DEL ENTORNO URBANO AL CC,-1
01_AG,DES016,NIVEL DE EDUCACIÓN Y FORMACIÓN DE LA POBLACIÓN,AG027,HÁBITOS DE CONSUMO RESPONSABLE DE AGUA,1
01_AG,AG032,COSTE DEL ABASTECIMIENTO DOMÉSTICO,EC030,INGRESOS DE LA ENTIDAD PÚBLICA,1
01_AG,AG032,COSTE DEL ABASTECIMIENTO DOMÉSTICO,AG027,HÁBITOS DE CONSUMO RESPONSABLE DE AGUA,1
01_AG,AG027,HÁBITOS DE CONSUMO RESPONSABLE DE AGUA,AG004,CONSUMO DE AGUA DOMÉSTICO,-1
01_AG,AG032,COSTE DEL ABASTECIMIENTO DOMÉSTICO,EC116,GASTO EN BIENES DE PRIMERA NECESIDAD,1
01_AG,AG004,CONSUMO DE AGUA DOMÉSTICO,AG032,COSTE DEL ABASTECIMIENTO DOMÉSTICO,1
01_AG,AG004,CONSUMO DE AGUA DOMÉSTICO,AG005,CONSUMO TOTAL DE AGUA,1
01_AG,NOR002,NORMATIVA QUE CONTEMPLE MEDIDAS PUNITIVAS,AG002,CONSUMO INDUSTRIAL DE AGUA,-1
01_AG,NOR001,MARCO NORMATIVO PARA ECODISEÑO Y REUTILIZACIÓN,AG002,CONSUMO INDUSTRIAL DE AGUA,-1
01_AG,NOR002,NORMATIVA QUE CONTEMPLE MEDIDAS PUNITIVAS,AG003,CONSUMO AGRARIO DE AGUA,-1
01_AG,NOR001,MARCO NORMATIVO PARA ECODISEÑO Y REUTILIZACIÓN,AG003,CONSUMO AGRARIO DE AGUA,-1
01_AG,AG002,CONSUMO INDUSTRIAL DE AGUA,AG005,CONSUMO TOTAL DE AGUA,1
01_AG,AG003,CONSUMO AGRARIO DE AGUA,AG005,CONSUMO TOTAL DE AGUA,1
01_AG,AG005,CONSUMO TOTAL DE AGUA,AG006,AGUA DISPONIBLE PARA CONSUMO,-1
01_AG,AG006,AGUA DISPONIBLE PARA CONSUMO,AG032,COSTE DEL ABASTECIMIENTO DOMÉSTICO,-1
01_AG,CC029,INUNDACIONES,AG008,AGUA CONTAMINADA,1
01_AG,POB001,TAMAÑO DE LA POBLACIÓN,AG008,AGUA CONTAMINADA,1
01_AG,EM019,ACIDIFICACIÓN,AG008,AGUA CONTAMINADA,1
01_AG,EM020,EUTROFIZACIÓN,AG008,AGUA CONTAMINADA,1
01_AG,AG007,CANTIDAD TOTAL DE AGUA,BIO021,MASAS DE AGUA,1
09_MC,MC023,SUELO DESTINADO A ZONAS VERDES Y ESPACIOS ABIERTOS,MC054,ACCESIBILIDAD FÍSICA A ZONAS VERDES Y ESPACIOS ABIERTOS,1
01_AG,ECC001,EFICIENCIA DE LA ESTRUCTURA Y LOGÍSTICA DE LA RECOGIDA SEPARATIVA DE RESIDUOS,AG008,AGUA CONTAMINADA,-1
01_AG,CC025,ESCASEZ DE RECURSOS,AG027,HÁBITOS DE CONSUMO RESPONSABLE DE AGUA,1
01_AG,AG038,SISTEMAS DE GESTIÓN Y TRATAMIENTO DE AGUAS RESIDUALES,AG008,AGUA CONTAMINADA,-1
01_AG,NOR002,NORMATIVA QUE CONTEMPLE MEDIDAS PUNITIVAS,AG008,AGUA CONTAMINADA,-1
01_AG,AG038,SISTEMAS DE GESTIÓN Y TRATAMIENTO DE AGUAS RESIDUALES,AG039,AGUA RECUPERADA Y REGENERADA,1
01_AG,AG038,SISTEMAS DE GESTIÓN Y TRATAMIENTO DE AGUAS RESIDUALES,AG040,AGUA POTABILIZADA,1
01_AG,AG038,SISTEMAS DE GESTIÓN Y TRATAMIENTO DE AGUAS RESIDUALES,EC030,INGRESOS DE LA ENTIDAD PÚBLICA,1
01_AG,AG008,AGUA CONTAMINADA,AG006,AGUA DISPONIBLE PARA CONSUMO,-1
01_AG,AG008,AGUA CONTAMINADA,BIO021,MASAS DE AGUA,-1
01_AG,AG007,CANTIDAD TOTAL DE AGUA,AG006,AGUA DISPONIBLE PARA CONSUMO,1
01_AG,AG007,CANTIDAD TOTAL DE AGUA,CC015,VULNERABILIDAD DEL ENTORNO NATURAL AL CC,-1
01_AG,AG039,AGUA RECUPERADA Y REGENERADA,AG006,AGUA DISPONIBLE PARA CONSUMO,1
01_AG,AG040,AGUA POTABILIZADA,AG006,AGUA DISPONIBLE PARA CONSUMO,1
01_AG,EC085,"ACTIVIDAD COMERCIAL, DE OCIO, HOSTELERÍA Y TURISMO (SERVICIOS)",AG004,CONSUMO DE AGUA DOMÉSTICO,1
01_AG,EC086,ACTIVIDAD INDUSTRIAL,AG002,CONSUMO INDUSTRIAL DE AGUA,1
01_AG,EC086,ACTIVIDAD INDUSTRIAL,AG008,AGUA CONTAMINADA,1
01_AG,EC087,ACTIVIDAD AGRARIA,AG003,CONSUMO AGRARIO DE AGUA,1
01_AG,EC087,ACTIVIDAD AGRARIA,AG008,AGUA CONTAMINADA,1
01_AG,EC088,ACTIVIDAD DE PRODUCCIÓN DE ENERGÍA,AG002,CONSUMO INDUSTRIAL DE AGUA,1
01_AG,ECC002,EFICIENCIA DE LOS SISTEMAS DE TRATAMIENTO Y GESTIÓN DE RESIDUOS,AG008,AGUA CONTAMINADA,-1
01_AG,OD015,CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN,AG027,HÁBITOS DE CONSUMO RESPONSABLE DE AGUA,1
01_AG,GOB008,CULTURA Y MARCOS MENTALES,AG027,HÁBITOS DE CONSUMO RESPONSABLE DE AGUA,1
01_AG,MC016,SOSTENIBILIDAD DEL DISEÑO DE CIUDAD,AG004,CONSUMO DE AGUA DOMÉSTICO,-1
01_AG,MC023,SUELO DESTINADO A ZONAS VERDES Y ESPACIOS ABIERTOS,AG008,AGUA CONTAMINADA,-1
01_AG,MC028,RIQUEZA DE ECOSISTEMAS URBANOS,AG007,CANTIDAD TOTAL DE AGUA,1
01_AG,MC029,SERVICIOS CLIMÁTICOS DE LAS ZONAS VERDES,AG007,CANTIDAD TOTAL DE AGUA,1
