LOOP,Tipo,Longitud,Nodos,Codigos,Bloque,ListaNodos
B001AG,Balancing (-),5,CONSUMO TOTAL DE AGUA → AGUA DISPONIBLE PARA CONSUMO → COSTE DEL ABASTECIMIENTO DOMÉSTICO → HÁBITOS DE CONSUMO RESPONSABLE DE AGUA → CONSUMO DE AGUA DOMÉSTICO,"AG005 , AG006 , AG032 , AG027 , AG004",01_AG,"['CONSUMO TOTAL DE AGUA', 'AGUA DISPONIBLE PARA CONSUMO', 'COSTE DEL ABASTECIMIENTO DOMÉSTICO', 'HÁBITOS DE CONSUMO RESPONSABLE DE AGUA', 'CONSUMO DE AGUA DOMÉSTICO']"
B002AG,Balancing (-),3,CONSUMO DE AGUA DOMÉSTICO → COSTE DEL ABASTECIMIENTO DOMÉSTICO → HÁBITOS DE CONSUMO RESPONSABLE DE AGUA,"AG004 , AG032 , AG027",01_AG,"['CONSUMO DE AGUA DOMÉSTICO', 'COSTE DEL ABASTECIMIENTO DOMÉSTICO', 'HÁBITOS DE CONSUMO RESPONSABLE DE AGUA']"
B003EN,Balancing (-),3,COSTE DEL ABASTECIMIENTO ENERGÉTICO → HÁBITOS DE CONSUMO RESPONSABLE DE ENERGÍA ELÉCTRICA → CONSUMO FINAL DE ENERGÍA ELÉCTRICA,"EN028 , EN027 , EN010",02_EN,"['COSTE DEL ABASTECIMIENTO ENERGÉTICO', 'HÁBITOS DE CONSUMO RESPONSABLE DE ENERGÍA ELÉCTRICA', 'CONSUMO FINAL DE ENERGÍA ELÉCTRICA']"
B004EC,Balancing (-),7,"UNIDADES PRODUCTIVAS → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → PYMES Y EMPRESAS MEDIANAS","EC035 , EC098 , EC018 , EC019 , EC060 , EC007 , EC083",06_EC,"['UNIDADES PRODUCTIVAS', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'PYMES Y EMPRESAS MEDIANAS']"
R005EC,Reinforcing (+),4,UNIDADES PRODUCTIVAS → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO,"EC035 , EC098 , EC018 , EC019",06_EC,"['UNIDADES PRODUCTIVAS', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
B006EC,Balancing (-),6,"UNIDADES PRODUCTIVAS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → PYMES Y EMPRESAS MEDIANAS","EC035 , EC018 , EC019 , EC060 , EC007 , EC083",06_EC,"['UNIDADES PRODUCTIVAS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'PYMES Y EMPRESAS MEDIANAS']"
R007EC,Reinforcing (+),3,UNIDADES PRODUCTIVAS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO,"EC035 , EC018 , EC019",06_EC,"['UNIDADES PRODUCTIVAS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
R008EC,Reinforcing (+),8,UNIDADES PRODUCTIVAS → PRODUCTIVIDAD → CAPACIDAD DE PRODUCCIÓN → DIFERENCIA ENTRE CONSUMO Y CAPACIDAD DE PRODUCCIÓN → PRECIOS (INFLACIÓN) → GASTO POR PERSONA → CONSUMO → CRECIMIENTO ECONÓMICO,"EC035 , EC018 , EC102 , EC103 , EC020 , EC037 , EC036 , EC019",06_EC,"['UNIDADES PRODUCTIVAS', 'PRODUCTIVIDAD', 'CAPACIDAD DE PRODUCCIÓN', 'DIFERENCIA ENTRE CONSUMO Y CAPACIDAD DE PRODUCCIÓN', 'PRECIOS (INFLACIÓN)', 'GASTO POR PERSONA', 'CONSUMO', 'CRECIMIENTO ECONÓMICO']"
B009EC,Balancing (-),7,UNIDADES PRODUCTIVAS → DEMANDA DE EMPLEO → NIVEL DE ACCESO MEDIO AL ML (OFERTA/DEMANDA) → POBLACIÓN EMPLEADA → ECONOMÍA SUMERGIDA → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO,"EC035 , EC015 , EC027 , EC034 , EC100 , EC018 , EC019",06_EC,"['UNIDADES PRODUCTIVAS', 'DEMANDA DE EMPLEO', 'NIVEL DE ACCESO MEDIO AL ML (OFERTA/DEMANDA)', 'POBLACIÓN EMPLEADA', 'ECONOMÍA SUMERGIDA', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
R010EC,Reinforcing (+),8,"UNIDADES PRODUCTIVAS → ACTIVIDAD AGRARIA → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → PYMES Y EMPRESAS MEDIANAS","EC035 , EC087 , EC098 , EC018 , EC019 , EC060 , EC007 , EC083",06_EC,"['UNIDADES PRODUCTIVAS', 'ACTIVIDAD AGRARIA', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'PYMES Y EMPRESAS MEDIANAS']"
B011EC,Balancing (-),5,UNIDADES PRODUCTIVAS → ACTIVIDAD AGRARIA → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO,"EC035 , EC087 , EC098 , EC018 , EC019",06_EC,"['UNIDADES PRODUCTIVAS', 'ACTIVIDAD AGRARIA', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
R012EC,Reinforcing (+),8,"UNIDADES PRODUCTIVAS → ACTIVIDAD COMERCIAL, DE OCIO, HOSTELERÍA Y TURISMO (SERVICIOS) → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → PYMES Y EMPRESAS MEDIANAS","EC035 , EC085 , EC098 , EC018 , EC019 , EC060 , EC007 , EC083",06_EC,"['UNIDADES PRODUCTIVAS', 'ACTIVIDAD COMERCIAL, DE OCIO, HOSTELERÍA Y TURISMO (SERVICIOS)', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'PYMES Y EMPRESAS MEDIANAS']"
B013EC,Balancing (-),5,"UNIDADES PRODUCTIVAS → ACTIVIDAD COMERCIAL, DE OCIO, HOSTELERÍA Y TURISMO (SERVICIOS) → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO","EC035 , EC085 , EC098 , EC018 , EC019",06_EC,"['UNIDADES PRODUCTIVAS', 'ACTIVIDAD COMERCIAL, DE OCIO, HOSTELERÍA Y TURISMO (SERVICIOS)', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
R014EC,Reinforcing (+),8,"UNIDADES PRODUCTIVAS → ACTIVIDAD INDUSTRIAL → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → PYMES Y EMPRESAS MEDIANAS","EC035 , EC086 , EC098 , EC018 , EC019 , EC060 , EC007 , EC083",06_EC,"['UNIDADES PRODUCTIVAS', 'ACTIVIDAD INDUSTRIAL', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'PYMES Y EMPRESAS MEDIANAS']"
B015EC,Balancing (-),5,UNIDADES PRODUCTIVAS → ACTIVIDAD INDUSTRIAL → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO,"EC035 , EC086 , EC098 , EC018 , EC019",06_EC,"['UNIDADES PRODUCTIVAS', 'ACTIVIDAD INDUSTRIAL', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
R016EC,Reinforcing (+),8,"UNIDADES PRODUCTIVAS → ACTIVIDAD DE PRODUCCIÓN DE ENERGÍA → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → PYMES Y EMPRESAS MEDIANAS","EC035 , EC088 , EC098 , EC018 , EC019 , EC060 , EC007 , EC083",06_EC,"['UNIDADES PRODUCTIVAS', 'ACTIVIDAD DE PRODUCCIÓN DE ENERGÍA', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'PYMES Y EMPRESAS MEDIANAS']"
B017EC,Balancing (-),5,UNIDADES PRODUCTIVAS → ACTIVIDAD DE PRODUCCIÓN DE ENERGÍA → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO,"EC035 , EC088 , EC098 , EC018 , EC019",06_EC,"['UNIDADES PRODUCTIVAS', 'ACTIVIDAD DE PRODUCCIÓN DE ENERGÍA', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
R018EC,Reinforcing (+),8,"UNIDADES PRODUCTIVAS → ACTIVIDAD DE CONSTRUCCIÓN → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → PYMES Y EMPRESAS MEDIANAS","EC035 , EC090 , EC098 , EC018 , EC019 , EC060 , EC007 , EC083",06_EC,"['UNIDADES PRODUCTIVAS', 'ACTIVIDAD DE CONSTRUCCIÓN', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'PYMES Y EMPRESAS MEDIANAS']"
B019EC,Balancing (-),5,UNIDADES PRODUCTIVAS → ACTIVIDAD DE CONSTRUCCIÓN → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO,"EC035 , EC090 , EC098 , EC018 , EC019",06_EC,"['UNIDADES PRODUCTIVAS', 'ACTIVIDAD DE CONSTRUCCIÓN', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
B020EC,Balancing (-),5,"DESARROLLO TECNOLÓGICO → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE INVESTIGACIÓN, DESARROLLO E INNOVACIÓN","EC097 , EC018 , EC019 , EC060 , EC012",06_EC,"['DESARROLLO TECNOLÓGICO', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE INVESTIGACIÓN, DESARROLLO E INNOVACIÓN']"
R021EC,Reinforcing (+),7,"DESARROLLO TECNOLÓGICO → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → PYMES Y EMPRESAS MEDIANAS → CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS","EC097 , EC018 , EC019 , EC060 , EC007 , EC083 , EC096",06_EC,"['DESARROLLO TECNOLÓGICO', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'PYMES Y EMPRESAS MEDIANAS', 'CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS']"
R022EC,Reinforcing (+),4,DESARROLLO TECNOLÓGICO → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS,"EC097 , EC018 , EC019 , EC096",06_EC,"['DESARROLLO TECNOLÓGICO', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS']"
B023EC,Balancing (-),8,DESARROLLO TECNOLÓGICO → DEMANDA DE EMPLEO → NIVEL DE ACCESO MEDIO AL ML (OFERTA/DEMANDA) → POBLACIÓN EMPLEADA → ECONOMÍA SUMERGIDA → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS,"EC097 , EC015 , EC027 , EC034 , EC100 , EC018 , EC019 , EC096",06_EC,"['DESARROLLO TECNOLÓGICO', 'DEMANDA DE EMPLEO', 'NIVEL DE ACCESO MEDIO AL ML (OFERTA/DEMANDA)', 'POBLACIÓN EMPLEADA', 'ECONOMÍA SUMERGIDA', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS']"
B024EC,Balancing (-),6,GASTO EN BIENES PÚBLICOS DE CARÁCTER PREFERENTE → GASTO EN BIENES DE NECESIDAD SECUNDARIA → GASTO POR PERSONA → CONSUMO → INGRESOS DE LA ENTIDAD PÚBLICA → GASTO PÚBLICO,"EC046 , EC117 , EC037 , EC036 , EC030 , EC031",06_EC,"['GASTO EN BIENES PÚBLICOS DE CARÁCTER PREFERENTE', 'GASTO EN BIENES DE NECESIDAD SECUNDARIA', 'GASTO POR PERSONA', 'CONSUMO', 'INGRESOS DE LA ENTIDAD PÚBLICA', 'GASTO PÚBLICO']"
B025EC,Balancing (-),6,GASTO EN BIENES PÚBLICOS DE CARÁCTER PREFERENTE → GASTO EN BIENES DE PRIMERA NECESIDAD → GASTO POR PERSONA → CONSUMO → INGRESOS DE LA ENTIDAD PÚBLICA → GASTO PÚBLICO,"EC046 , EC116 , EC037 , EC036 , EC030 , EC031",06_EC,"['GASTO EN BIENES PÚBLICOS DE CARÁCTER PREFERENTE', 'GASTO EN BIENES DE PRIMERA NECESIDAD', 'GASTO POR PERSONA', 'CONSUMO', 'INGRESOS DE LA ENTIDAD PÚBLICA', 'GASTO PÚBLICO']"
R026EC,Reinforcing (+),5,CAPACIDAD DE PRODUCCIÓN → DIFERENCIA ENTRE CONSUMO Y CAPACIDAD DE PRODUCCIÓN → PRECIOS (INFLACIÓN) → DIFERENCIA ENTRE COSTE DE PRODUCCIÓN Y COSTE BIENES → PRODUCTIVIDAD,"EC102 , EC103 , EC020 , EC101 , EC018",06_EC,"['CAPACIDAD DE PRODUCCIÓN', 'DIFERENCIA ENTRE CONSUMO Y CAPACIDAD DE PRODUCCIÓN', 'PRECIOS (INFLACIÓN)', 'DIFERENCIA ENTRE COSTE DE PRODUCCIÓN Y COSTE BIENES', 'PRODUCTIVIDAD']"
R027EC,Reinforcing (+),8,CAPACIDAD DE PRODUCCIÓN → DIFERENCIA ENTRE CONSUMO Y CAPACIDAD DE PRODUCCIÓN → PRECIOS (INFLACIÓN) → GASTO POR PERSONA → CONSUMO → CRECIMIENTO ECONÓMICO → CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS → PRODUCTIVIDAD,"EC102 , EC103 , EC020 , EC037 , EC036 , EC019 , EC096 , EC018",06_EC,"['CAPACIDAD DE PRODUCCIÓN', 'DIFERENCIA ENTRE CONSUMO Y CAPACIDAD DE PRODUCCIÓN', 'PRECIOS (INFLACIÓN)', 'GASTO POR PERSONA', 'CONSUMO', 'CRECIMIENTO ECONÓMICO', 'CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS', 'PRODUCTIVIDAD']"
B028EC,Balancing (-),4,GASTO POR PERSONA → CONSUMO → DIFERENCIA ENTRE CONSUMO Y CAPACIDAD DE PRODUCCIÓN → PRECIOS (INFLACIÓN),"EC037 , EC036 , EC103 , EC020",06_EC,"['GASTO POR PERSONA', 'CONSUMO', 'DIFERENCIA ENTRE CONSUMO Y CAPACIDAD DE PRODUCCIÓN', 'PRECIOS (INFLACIÓN)']"
R029EC,Reinforcing (+),6,GASTO PÚBLICO → GASTO PÚBLICO EN PROTECCIÓN Y PROMOCIÓN SOCIAL → MEDIDAS DE REGULACIÓN DEL MERCADO LABORAL → CALIDAD DEL EMPLEO → RENTA BRUTA POR PERSONA → INGRESOS DE LA ENTIDAD PÚBLICA,"EC031 , EC045 , EC005 , EC032 , EC014 , EC030",06_EC,"['GASTO PÚBLICO', 'GASTO PÚBLICO EN PROTECCIÓN Y PROMOCIÓN SOCIAL', 'MEDIDAS DE REGULACIÓN DEL MERCADO LABORAL', 'CALIDAD DEL EMPLEO', 'RENTA BRUTA POR PERSONA', 'INGRESOS DE LA ENTIDAD PÚBLICA']"
R030EC,Reinforcing (+),5,GASTO PÚBLICO → GASTO PÚBLICO EN PROTECCIÓN Y PROMOCIÓN SOCIAL → MEDIDAS DE PROTECCIÓN SOCIAL → RENTA BRUTA POR PERSONA → INGRESOS DE LA ENTIDAD PÚBLICA,"EC031 , EC045 , EC006 , EC014 , EC030",06_EC,"['GASTO PÚBLICO', 'GASTO PÚBLICO EN PROTECCIÓN Y PROMOCIÓN SOCIAL', 'MEDIDAS DE PROTECCIÓN SOCIAL', 'RENTA BRUTA POR PERSONA', 'INGRESOS DE LA ENTIDAD PÚBLICA']"
R031EC,Reinforcing (+),5,ACTIVIDAD AGRARIA → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO,"EC087 , EC098 , EC018 , EC019 , EC060",06_EC,"['ACTIVIDAD AGRARIA', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO']"
R032EC,Reinforcing (+),6,ACTIVIDAD AGRARIA → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO → GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO PARA EL SECTOR PRIMARIO,"EC087 , EC098 , EC018 , EC019 , EC060 , EC008",06_EC,"['ACTIVIDAD AGRARIA', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO', 'GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO PARA EL SECTOR PRIMARIO']"
R033EC,Reinforcing (+),6,"GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → PYMES Y EMPRESAS MEDIANAS → CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO","EC060 , EC007 , EC083 , EC096 , EC018 , EC019",06_EC,"['GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'PYMES Y EMPRESAS MEDIANAS', 'CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
R034EC,Reinforcing (+),7,"GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → PYMES Y EMPRESAS MEDIANAS → CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS → ECONOMÍA DE ESCALA → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO","EC060 , EC007 , EC083 , EC096 , EC099 , EC018 , EC019",06_EC,"['GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'PYMES Y EMPRESAS MEDIANAS', 'CAPACIDAD DE INVERSIÓN DE LAS EMPRESAS', 'ECONOMÍA DE ESCALA', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
R035EC,Reinforcing (+),6,"GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS → ACTIVIDAD COMERCIAL, DE OCIO, HOSTELERÍA Y TURISMO (SERVICIOS) → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO","EC060 , EC007 , EC085 , EC098 , EC018 , EC019",06_EC,"['GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO A COMERCIO, TURISMO, PEQUEÑAS Y MEDIANAS EMPRESAS', 'ACTIVIDAD COMERCIAL, DE OCIO, HOSTELERÍA Y TURISMO (SERVICIOS)', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
R036EC,Reinforcing (+),6,GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO → PROGRAMAS DE APOYO PARA EL SECTOR INDUSTRIA Y ENERGÍA → ACTIVIDAD INDUSTRIAL → DEPENDENCIA DE SECTORES ESPECÍFICOS → PRODUCTIVIDAD → CRECIMIENTO ECONÓMICO,"EC060 , EC009 , EC086 , EC098 , EC018 , EC019",06_EC,"['GASTO PÚBLICO EN ACTUACIONES DE CARÁCTER ECONÓMICO', 'PROGRAMAS DE APOYO PARA EL SECTOR INDUSTRIA Y ENERGÍA', 'ACTIVIDAD INDUSTRIAL', 'DEPENDENCIA DE SECTORES ESPECÍFICOS', 'PRODUCTIVIDAD', 'CRECIMIENTO ECONÓMICO']"
